run,id,expected_route,predicted_route,continue_score,new_score,delta_continue_minus_new,continue_match_probability,new_match_probability,both_scores_positive,both_match_probability_gt_0_9,correct_candidate_score,incorrect_candidate_score
A,case_001,CONTINUE,CONTINUE,19.90625,13.187500000001819,6.718749999998181,0.9999999977362657,0.9999981261246162,True,True,19.90625,13.187500000001819
A,case_002,CONTINUE,CONTINUE,18.5,14.749999642372188,3.750000357627812,0.9999999907625504,0.9999996072136592,True,True,18.5,14.749999642372188
A,case_003,NEW,CONTINUE,8.499999663079507,-0.25,8.749999663079507,0.99979657295342,0.4378234991142019,False,False,-0.25,8.499999663079507
A,case_004,CONTINUE,CONTINUE,19.046875,13.859375000000455,5.187499999999545,0.9999999946537743,0.9999990429172271,True,True,19.046875,13.859375000000455
A,case_005,NEW,CONTINUE,4.437499875202775,-1.9062500596046448,6.34374993480742,0.9883127405628144,0.12940272487671914,False,False,-1.9062500596046448,4.437499875202775
A,case_006,CONTINUE,CONTINUE,17.515625,11.906249880813903,5.609375119186097,0.9999999752793034,0.9999932519476056,True,True,17.515625,11.906249880813903
A,case_007,NEW,CONTINUE,-6.0312497820705175,-13.781249880791279,7.750000098720761,0.0023967313911954784,1.0348532635506445e-06,False,False,-13.781249880791279,-6.0312497820705175
A,case_008,CONTINUE,CONTINUE,18.15625,9.562500240892405,8.593749759107595,0.9999999869731082,0.9999296881742672,True,True,18.15625,9.562500240892405
A,case_009,NEW,CONTINUE,10.593749761894287,-6.437500206404366,17.031249968298653,0.9999749284001825,0.0015978451647420651,False,False,-6.437500206404366,10.593749761894287
A,case_010,CONTINUE,CONTINUE,18.640625,10.718749761826984,7.9218752381730155,0.9999999919743648,0.9999778743256346,True,True,18.640625,10.718749761826984
A,case_011,NEW,CONTINUE,15.937499880790718,-3.2187500968575478,19.156249977648265,0.9999998802069302,0.03846618843589848,False,False,-3.2187500968575478,15.937499880790718
A,case_012,CONTINUE,CONTINUE,18.328125,11.843749523188308,6.484375476811692,0.9999999890302572,0.9999928167361751,True,True,18.328125,11.843749523188308
A,case_013,CONTINUE,CONTINUE,18.921875,15.21874976158145,3.7031252384185507,0.9999999939419326,0.9999997542005818,True,True,18.921875,15.21874976158145
A,case_014,NEW,CONTINUE,9.875000001324224,-11.906249880813903,21.781249882138127,0.9999485577863259,6.74805239431716e-06,False,False,-11.906249880813903,9.875000001324224
A,case_015,CONTINUE,CONTINUE,18.828125,15.28124976158145,3.5468752384185507,0.9999999933465147,0.9999997690928124,True,True,18.828125,15.28124976158145
A,case_016,NEW,NEW,-2.687500111758709,5.281249896623194,-7.968750008381903,0.06371498758495588,0.99493966744756,False,False,5.281249896623194,-2.687500111758709
