id,difficulty,message,expected,predicted,correct,sampled_token,logprob_a,logprob_b,p_a,p_b,confidence,margin,latency_sec,prompt_tokens,completion_tokens,error,logprob_margin
case_001,easy,Пишет ошибку 403.,A,A,True,A,-2.3841855067985307e-07,-21.359375,0.9999999994706519,5.293481552334778e-10,0.9999999994706519,0.9999999989413038,0.030222364000110247,259,1,,21.35937476158145
case_002,easy,А платить можно помесячно?,A,A,True,A,-2.3841855067985307e-07,-21.6875,0.9999999996187248,3.8127517326038837e-10,0.9999999996187248,0.9999999992374496,0.03348025499963114,257,1,,21.68749976158145
case_003,easy,А сколько стоит тариф Pro?,B,B,True,B,-21.765625,-1.1920928244535389e-07,3.526218494729817e-10,0.9999999996473781,0.9999999996473781,0.9999999992947562,0.022006293999766058,258,1,,21.765624880790718
case_004,easy,С 10 по 17 сентября.,A,A,True,A,0.0,-26.359375,0.9999999999964333,3.5667189655300876e-12,0.9999999999964333,0.9999999999928666,0.025731716999871423,252,1,,26.359375
case_005,easy,А как оформить больничный?,B,B,True,B,-19.890625,0.0,2.2993830197054193e-09,0.9999999977006169,0.9999999977006169,0.9999999954012339,0.018133832999410515,250,1,,19.890625
case_006,easy,Лишний платёж вернётся автоматически?,A,A,True,A,-3.576278118089249e-07,-18.0,0.999999984770015,1.5229984959425487e-08,0.999999984770015,0.99999996954003,0.032672980999450374,263,1,,17.999999642372188
case_007,easy,Как удалить мой аккаунт?,B,B,True,B,-21.78125,0.0,3.4715491303421526e-10,0.999999999652845,0.999999999652845,0.9999999993056902,0.021846593000191206,259,1,,21.78125
case_008,easy,PDF тоже поддерживается?,A,A,True,A,-2.3841855067985307e-07,-18.34375,0.9999999892003247,1.079967525358173e-08,0.9999999892003247,0.9999999784006495,0.02419384400036506,251,1,,18.34374976158145
case_009,easy,А где поменять пароль?,B,B,True,B,-20.21875,0.0,1.6561834607274171e-09,0.9999999983438166,0.9999999983438166,0.9999999966876332,0.017217834000803123,253,1,,20.21875
case_010,easy,А можно ещё за прошлый квартал?,A,A,True,A,-5.960462772236497e-07,-19.5,0.9999999966017301,3.3982698334723197e-09,0.9999999966017301,0.9999999932034602,0.029983914999320405,265,1,,19.499999403953723
case_011,easy,Теперь создай отпуск Иванову.,B,B,True,B,-19.796875,-2.3841855067985307e-07,2.525378803944957e-09,0.9999999974746212,0.9999999974746212,0.9999999949492424,0.019654344000628043,264,1,,19.79687476158145
case_012,easy,"Да, у всех отчётов белый экран.",A,A,True,A,-2.3841855067985307e-07,-21.0,0.9999999992417439,7.582562229985666e-10,0.9999999992417439,0.9999999984834876,0.029848469000171463,270,1,,20.99999976158145
case_013,medium,А адрес доставки ещё можно изменить?,A,A,True,A,-2.3841855067985307e-07,-21.25,0.9999999994094695,5.905305403390965e-10,0.9999999994094695,0.999999998818939,0.02341099600016605,256,1,,21.24999976158145
case_014,medium,А где изменить email в профиле?,B,B,True,B,-20.15625,-1.1920928244535389e-07,1.762998326873178e-09,0.9999999982370016,0.9999999982370016,0.9999999964740033,0.019613286999629054,257,1,,20.156249880790718
case_015,medium,"На /reports, в основном при больших отчётах.",A,A,True,A,0.0,-23.0625,0.9999999999035987,9.640143774110972e-11,0.9999999999035987,0.9999999998071972,0.02972956499979773,260,1,,23.0625
case_016,medium,Как создать нового пользователя через API?,B,B,True,B,-22.28125,0.0,2.1056009845388593e-10,0.99999999978944,0.99999999978944,0.9999999995788799,0.01749123999979929,253,1,,22.28125
case_017,medium,Можно вместо графика вывести таблицу?,A,A,True,A,-1.1920928244535389e-07,-20.0,0.9999999979388461,2.0611538638988615e-09,0.9999999979388461,0.9999999958776922,0.023139023000112502,255,1,,19.999999880790718
case_018,medium,А как подключить новый MCP-инструмент?,B,B,True,B,-19.859375,0.0,2.3723732717232865e-09,0.9999999976276268,0.9999999976276268,0.9999999952552535,0.01942875799977628,257,1,,19.859375
case_019,medium,А если руководитель сейчас отсутствует?,A,A,True,A,-1.1920928244535389e-07,-22.46875,0.9999999998254396,1.74560473560715e-10,0.9999999998254396,0.9999999996508792,0.02962350400048308,263,1,,22.468749880790718
case_020,medium,А как назначить роль аналитика Иванову?,B,A,False,A,-7.271502545336261e-05,-9.531322479248047,0.9999274563646668,7.254363533309654e-05,0.9999274563646668,0.9998549127293338,0.03285066700027528,274,1,,9.531249764222594
case_021,medium,Сформируй новый отчёт по сотрудникам.,B,A,False,A,-0.15565921366214752,-1.9369091987609863,0.8558511451289037,0.14414885487109627,0.8558511451289037,0.7117022902578074,0.01761229900057515,271,1,,1.7812499850988388
case_022,medium,А где изменить номер телефона в профиле?,B,B,True,B,-14.75,-3.576278118089249e-07,3.9278634073828336e-07,0.9999996072136592,0.9999996072136592,0.9999992144273184,0.02987518900044961,265,1,,14.749999642372188
case_023,hard,"Да. А если попробовать через VPN, это может помочь?",A,A,True,A,-2.3841855067985307e-07,-19.484375,0.9999999965482165,3.4517835618703207e-09,0.9999999965482165,0.999999993096433,0.03056776599987643,268,1,,19.48437476158145
case_024,hard,"Спасибо, вошёл. А уведомления как отключить?",B,A,False,A,-3.576278118089249e-07,-15.84375,0.9999998684330216,1.3156697834933018e-07,0.9999998684330216,0.9999997368660433,0.01774835600008373,270,1,,15.843749642372188
