id,difficulty,message,expected,predicted,correct,sampled_token,logprob_a,logprob_b,p_a,p_b,confidence,margin,latency_sec,prompt_tokens,completion_tokens,error,logprob_margin
case_001,easy,Пишет ошибку 403.,B,A,False,A,-2.3841855067985307e-07,-16.1875,0.9999999067050498,9.329495020108236e-08,0.9999999067050498,0.9999998134100996,0.04269930400005251,253,1,,16.18749976158145
case_002,easy,А платить можно помесячно?,B,A,False,A,-1.1920928244535389e-07,-16.71875,0.9999999451547325,5.484526744939479e-08,0.9999999451547325,0.999999890309465,0.017661820000284933,251,1,,16.718749880790718
case_003,easy,А сколько стоит тариф Pro?,A,A,True,A,0.0,-18.71875,0.9999999925775007,7.4224992716162615e-09,0.9999999925775007,0.9999999851550014,0.017335394000838278,252,1,,18.71875
case_004,easy,С 10 по 17 сентября.,B,A,False,A,0.0,-17.78125,0.9999999810459842,1.8954015673910487e-08,0.9999999810459842,0.9999999620919685,0.017825758999606478,246,1,,17.78125
case_005,easy,А как оформить больничный?,A,A,True,A,0.0,-20.8125,0.9999999990853685,9.146313747844331e-10,0.9999999990853685,0.9999999981707371,0.016946861000178615,244,1,,20.8125
case_006,easy,Лишний платёж вернётся автоматически?,B,A,False,A,-2.3841855067985307e-07,-16.46875,0.9999999295772753,7.042272468809382e-08,0.9999999295772753,0.9999998591545507,0.013199306000387878,257,1,,16.46874976158145
case_007,easy,Как удалить мой аккаунт?,A,A,True,A,-1.1920928244535389e-07,-16.46875,0.9999999295772838,7.042271629305344e-08,0.9999999295772838,0.9999998591545675,0.017115488999479567,253,1,,16.468749880790718
case_008,easy,PDF тоже поддерживается?,B,A,False,A,-0.001032891683280468,-6.876032829284668,0.9989677688989018,0.00103223110109812,0.9989677688989018,0.9979355377978038,0.016893689999051276,245,1,,6.8749999376013875
case_009,easy,А где поменять пароль?,A,A,True,A,-1.1920928244535389e-07,-15.96875,0.9999998838925749,1.1610742498850317e-07,0.9999998838925749,0.9999997677851499,0.01675904599869682,247,1,,15.968749880790718
case_010,easy,А можно ещё за прошлый квартал?,B,A,False,A,-2.3841855067985307e-07,-18.1875,0.9999999873739004,1.2626099528542107e-08,0.9999999873739004,0.9999999747478009,0.016878070000529988,259,1,,18.18749976158145
case_011,easy,Теперь создай отпуск Иванову.,A,A,True,A,-2.3841855067985307e-07,-20.40625,0.9999999986269754,1.3730246417351043e-09,0.9999999986269754,0.9999999972539507,0.01322178900045401,258,1,,20.40624976158145
case_012,easy,"Да, у всех отчётов белый экран.",B,A,False,A,0.0,-18.0625,0.9999999856927584,1.4307241713870521e-08,0.9999999856927584,0.9999999713855167,0.01745712399861077,264,1,,18.0625
case_013,medium,А адрес доставки ещё можно изменить?,B,A,False,A,-1.1920928244535389e-07,-18.1875,0.9999999873739019,1.262609802339413e-08,0.9999999873739019,0.9999999747478039,0.01698416100043687,250,1,,18.187499880790718
case_014,medium,А где изменить email в профиле?,A,A,True,A,-1.1920928244535389e-07,-20.921875,0.9999999991801296,8.198703633773525e-10,0.9999999991801296,0.9999999983602592,0.017009178000080283,251,1,,20.921874880790718
case_015,medium,"На /reports, в основном при больших отчётах.",B,A,False,A,-0.012509571388363838,-4.387509346008301,0.9875683463797992,0.012431653620200803,0.9875683463797992,0.9751366927595984,0.016863554001247394,254,1,,4.374999774619937
case_016,medium,Как создать нового пользователя через API?,A,A,True,A,-5.960462772236497e-07,-14.250000953674316,0.9999993524054333,6.475945666070602e-07,0.9999993524054333,0.9999987048108666,0.016866199001015048,247,1,,14.25000035762804
case_017,medium,Можно вместо графика вывести таблицу?,B,A,False,A,-1.1920928244535389e-07,-16.34375,0.9999999202006086,7.979939127998447e-08,0.9999999202006086,0.9999998404012173,0.016851811000378802,249,1,,16.343749880790718
