id,difficulty,message,expected,predicted,correct,sampled_token,logprob_a,logprob_b,p_a,p_b,confidence,margin,latency_sec,prompt_tokens,completion_tokens,error,logprob_margin
case_001,easy,Пишет ошибку 403.,B,B,True,B,-18.59375,-1.1920928244535389e-07,8.410794561853986e-09,0.9999999915892054,0.9999999915892054,0.9999999831784108,0.0845865720002621,253,1,,18.593749880790718
case_002,easy,А платить можно помесячно?,B,B,True,B,-11.343762397766113,-1.2040065485052764e-05,1.1843134789732312e-05,0.9999881568652101,0.9999881568652101,0.9999763137304204,0.03408617900095123,251,1,,11.343750357700628
case_003,easy,А сколько стоит тариф Pro?,A,A,True,A,-4.768370445162873e-07,-21.4375,0.999999999510433,4.895671298871888e-10,0.999999999510433,0.9999999990208658,0.01896413400027086,252,1,,21.437499523162955
case_004,easy,С 10 по 17 сентября.,B,B,True,B,-23.828125,-1.1920928244535389e-07,4.4830837294395984e-11,0.9999999999551692,0.9999999999551692,0.9999999999103384,0.026419352001539664,246,1,,23.828124880790718
case_005,easy,А как оформить больничный?,A,A,True,A,-2.3841855067985307e-07,-19.9375,0.9999999978059129,2.1940871283613122e-09,0.9999999978059129,0.9999999956118257,0.022140428000057,244,1,,19.93749976158145
case_006,easy,Лишний платёж вернётся автоматически?,B,B,True,B,-13.343751907348633,-2.0265558760002023e-06,1.602811178894528e-06,0.9999983971888211,0.9999983971888211,0.9999967943776422,0.037490712998987874,257,1,,13.343749880792757
case_007,easy,Как удалить мой аккаунт?,A,A,True,A,-2.3841855067985307e-07,-20.28125,0.9999999984441592,1.5558407485203338e-09,0.9999999984441592,0.9999999968883184,0.018496612001399626,253,1,,20.28124976158145
case_008,easy,PDF тоже поддерживается?,B,B,True,B,-12.656253814697266,-3.4570634852570947e-06,3.1875640766513166e-06,0.9999968124359234,0.9999968124359234,0.9999936248718467,0.03137261899973964,245,1,,12.65625035763378
case_009,easy,А где поменять пароль?,A,A,True,A,-4.768370445162873e-07,-20.28125,0.999999998444159,1.5558411194615856e-09,0.999999998444159,0.9999999968883179,0.0179056369997852,247,1,,20.281249523162955
case_010,easy,А можно ещё за прошлый квартал?,B,B,True,B,-4.882606506347656,-0.007606471423059702,0.007577241005233902,0.9924227589947661,0.9924227589947661,0.9848455179895321,0.0338995279998926,259,1,,4.8750000349245965
case_011,easy,Теперь создай отпуск Иванову.,A,A,True,A,-7.152555099310121e-07,-19.0,0.9999999943971996,5.602800413578351e-09,0.9999999943971996,0.9999999887943991,0.02084257800015621,258,1,,18.99999928474449
case_012,easy,"Да, у всех отчётов белый экран.",B,B,True,B,-13.812500953674316,-1.0728830375228426e-06,1.003014207774649e-06,0.9999989969857923,0.9999989969857923,0.9999979939715845,0.03352956900016579,264,1,,13.812499880791279
case_013,medium,А адрес доставки ещё можно изменить?,B,B,True,B,-8.031575202941895,-0.0003251500893384218,0.0003250358280631563,0.9996749641719369,0.9996749641719369,0.9993499283438737,0.03152090799994767,250,1,,8.031250052852556
case_014,medium,А где изменить email в профиле?,A,A,True,A,-7.152555099310121e-07,-18.84375,0.9999999934496626,6.550337307513892e-09,0.9999999934496626,0.9999999868993253,0.017822940999394632,251,1,,18.84374928474449
case_015,medium,"На /reports, в основном при больших отчётах.",B,B,True,B,-22.734375,0.0,1.338401417521792e-10,0.99999999986616,0.99999999986616,0.9999999997323198,0.030820938000033493,254,1,,22.734375
case_016,medium,Как создать нового пользователя через API?,A,A,True,A,-1.1920928244535389e-07,-22.796875,0.9999999998742688,1.2573119248014831e-10,0.9999999998742688,0.9999999997485376,0.017288412998823333,247,1,,22.796874880790718
case_017,medium,Можно вместо графика вывести таблицу?,B,B,True,B,-8.500203132629395,-0.00020358874462544918,0.00020342707082249552,0.9997965729291775,0.9997965729291775,0.9995931458583549,0.023747260000163806,249,1,,8.499999543884769
case_018,medium,А как подключить новый MCP-инструмент?,A,A,True,A,-7.152555099310121e-07,-19.46875,0.9999999964938571,3.5061429151745028e-09,0.9999999964938571,0.9999999929877141,0.020203804000630043,251,1,,19.46874928474449
case_019,medium,А если руководитель сейчас отсутствует?,B,B,True,B,-14.46875,-4.768370445162873e-07,5.203573532958167e-07,0.9999994796426467,0.9999994796426467,0.9999989592852934,0.033524178999869036,257,1,,14.468749523162955
case_020,medium,А как назначить роль аналитика Иванову?,A,A,True,A,-0.0008842610404826701,-7.032134056091309,0.9991169539713957,0.0008830460286042705,0.9991169539713957,0.9982339079427914,0.03359694599930663,268,1,,7.031249795050826
case_021,medium,Сформируй новый отчёт по сотрудникам.,A,A,True,A,-0.01759737730026245,-4.048847198486328,0.9825575121992374,0.017442487800762525,0.9825575121992374,0.9651150243984749,0.020748662000187323,265,1,,4.031249821186066
