id,difficulty,message,expected_route,predicted_route,predicted_sum,correct,correct_sum,confidence,margin,routes_json,latency_sec,error
case_001,easy,Пишет ошибку 403.,CONTINUE,CONTINUE,CONTINUE,True,True,0.9999997126298026,0.9999994252596052,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-2.90866428258596e-05, -5.245195097813848e-06], ""sum_logprob"": -3.433183792367345e-05, ""mean_logprob"": -3.433183792367345e-05, ""normalized_score_probability"": 0.9999997126298026}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-15.062528610229492], ""sum_logprob"": -15.062528610229492, ""mean_logprob"": -15.062528610229492, ""normalized_score_probability"": 2.87370197458229e-07}}",0.275211207997927,
case_002,easy,А платить можно помесячно?,CONTINUE,CONTINUE,CONTINUE,True,True,0.9999177973907889,0.9998355947815777,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.00014447122521232814, -8.22540732769994e-06], ""sum_logprob"": -0.00015269663254002808, ""mean_logprob"": -0.00015269663254002808, ""normalized_score_probability"": 0.9999177973907889}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-9.406394004821777], ""sum_logprob"": -9.406394004821777, ""mean_logprob"": -9.406394004821777, ""normalized_score_probability"": 8.220260921119467e-05}}",0.24511414499829698,
case_003,easy,А сколько стоит тариф Pro?,NEW,NEW,NEW,True,True,0.9999999990110573,0.9999999980221147,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-20.734376907348633, -9.536697689327411e-06], ""sum_logprob"": -20.734386444046322, ""mean_logprob"": -20.734386444046322, ""normalized_score_probability"": 9.889426477720644e-10}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-1.6689286894688848e-06], ""sum_logprob"": -1.6689286894688848e-06, ""mean_logprob"": -1.6689286894688848e-06, ""normalized_score_probability"": 0.9999999990110573}}",0.24498763600058737,
case_004,easy,С 10 по 17 сентября.,CONTINUE,CONTINUE,CONTINUE,True,True,0.9999999816289805,0.9999999632579609,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-6.639736966462806e-05, -8.940656698541716e-06], ""sum_logprob"": -7.533802636316977e-05, ""mean_logprob"": -7.533802636316977e-05, ""normalized_score_probability"": 0.9999999816289805}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-17.81256675720215], ""sum_logprob"": -17.81256675720215, ""mean_logprob"": -17.81256675720215, ""normalized_score_probability"": 1.837101956646294e-08}}",0.2364375689994631,
case_005,easy,А как оформить больничный?,NEW,NEW,NEW,True,True,0.999997774752924,0.999995549505848,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-13.015630722045898, -1.537788011773955e-05], ""sum_logprob"": -13.015646099926016, ""mean_logprob"": -13.015646099926016, ""normalized_score_probability"": 2.2252470759373704e-06}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-5.722029527532868e-06], ""sum_logprob"": -5.722029527532868e-06, ""mean_logprob"": -5.722029527532868e-06, ""normalized_score_probability"": 0.999997774752924}}",0.23693595999793615,
case_006,easy,Лишний платёж вернётся автоматически?,CONTINUE,CONTINUE,CONTINUE,True,True,0.9998557394333014,0.9997114788666028,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.0001958416833076626, -4.529942543740617e-06], ""sum_logprob"": -0.00020037162585140322, ""mean_logprob"": -0.00020037162585140322, ""normalized_score_probability"": 0.9998557394333014}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-8.843945503234863], ""sum_logprob"": -8.843945503234863, ""mean_logprob"": -8.843945503234863, ""normalized_score_probability"": 0.000144260566698606}}",0.24663179999879503,
case_007,easy,Как удалить мой аккаунт?,NEW,NEW,NEW,True,True,0.9999999998082849,0.9999999996165699,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-22.375001907348633, -1.1205610462639015e-05], ""sum_logprob"": -22.375013112959095, ""mean_logprob"": -22.375013112959095, ""normalized_score_probability"": 1.9171498018888264e-10}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-1.7881377516459906e-06], ""sum_logprob"": -1.7881377516459906e-06, ""mean_logprob"": -1.7881377516459906e-06, ""normalized_score_probability"": 0.9999999998082849}}",0.2462236089995713,
case_008,easy,PDF тоже поддерживается?,CONTINUE,CONTINUE,CONTINUE,True,True,0.9999847930889743,0.9999695861779485,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-7.509902934543788e-05, -4.887569048150908e-06], ""sum_logprob"": -7.998659839358879e-05, ""mean_logprob"": -7.998659839358879e-05, ""normalized_score_probability"": 0.9999847930889743}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-11.093825340270996], ""sum_logprob"": -11.093825340270996, ""mean_logprob"": -11.093825340270996, ""normalized_score_probability"": 1.5206911025725841e-05}}",0.23835553999742842,
case_009,easy,А где поменять пароль?,NEW,NEW,NEW,True,True,0.9999999961492898,0.9999999922985796,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-19.375001907348633, -8.702239938429557e-06], ""sum_logprob"": -19.37501060958857, ""mean_logprob"": -19.37501060958857, ""normalized_score_probability"": 3.8507102341560886e-09}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-2.3841830625315197e-06], ""sum_logprob"": -2.3841830625315197e-06, ""mean_logprob"": -2.3841830625315197e-06, ""normalized_score_probability"": 0.9999999961492898}}",0.2383625229995232,
case_010,easy,А можно ещё за прошлый квартал?,CONTINUE,CONTINUE,CONTINUE,True,True,0.9999959070528531,0.9999918141057063,"{""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-6.472854875028133e-05, -8.940656698541716e-06], ""sum_logprob"": -7.366920544882305e-05, ""mean_logprob"": -7.366920544882305e-05, ""normalized_score_probability"": 0.9999959070528531}, ""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-12.406314849853516], ""sum_logprob"": -12.406314849853516, ""mean_logprob"": -12.406314849853516, ""normalized_score_probability"": 4.092947146820013e-06}}",0.2474673159995291,
