id,difficulty,message,expected_route,predicted_route,predicted_sum,correct,correct_sum,confidence,margin,routes_json,latency_sec,error
case_001,easy,Пишет ошибку 403.,CONTINUE,CONTINUE,CONTINUE,True,True,0.9779591212178815,0.9559182424357631,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-3.803891897201538], ""sum_logprob"": -3.803891897201538, ""mean_logprob"": -3.803891897201538, ""normalized_score_probability"": 0.022040878782118443}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.022641949355602264, -3.814689989667386e-06], ""sum_logprob"": -0.022645764045591932, ""mean_logprob"": -0.011322882022795966, ""normalized_score_probability"": 0.9779591212178815}}",0.26936968699919817,
case_002,easy,А платить можно помесячно?,CONTINUE,CONTINUE,CONTINUE,True,True,0.9897255079983938,0.9794510159967876,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-4.573031902313232], ""sum_logprob"": -4.573031902313232, ""mean_logprob"": -4.573031902313232, ""normalized_score_probability"": 0.010274492001606161}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.010531917214393616, -5.245195097813848e-06], ""sum_logprob"": -0.01053716240949143, ""mean_logprob"": -0.005268581204745715, ""normalized_score_probability"": 0.9897255079983938}}",0.24611552399983339,
case_003,easy,А сколько стоит тариф Pro?,NEW,NEW,NEW,True,True,0.9993333030120992,0.9986666060241984,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-1.9073468138230965e-06], ""sum_logprob"": -1.9073468138230965e-06, ""mean_logprob"": -1.9073468138230965e-06, ""normalized_score_probability"": 0.9993333030120992}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-14.625001907348633, -1.7881233361549675e-05], ""sum_logprob"": -14.625019788581994, ""mean_logprob"": -7.312509894290997, ""normalized_score_probability"": 0.0006666969879008135}}",0.2471724080005515,
case_004,easy,С 10 по 17 сентября.,CONTINUE,CONTINUE,CONTINUE,True,True,0.999974535661976,0.999949071323952,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-10.578290939331055], ""sum_logprob"": -10.578290939331055, ""mean_logprob"": -10.578290939331055, ""normalized_score_probability"": 2.546433802392967e-05}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.00016616393986623734, -3.4570634852570947e-06], ""sum_logprob"": -0.00016962100335149444, ""mean_logprob"": -8.481050167574722e-05, ""normalized_score_probability"": 0.999974535661976}}",0.2381853039987618,
case_005,easy,А как оформить больничный?,NEW,NEW,NEW,True,True,0.8163870027152197,0.6327740054304394,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-0.04714379087090492], ""sum_logprob"": -0.04714379087090492, ""mean_logprob"": -0.04714379087090492, ""normalized_score_probability"": 0.8163870027152197}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-3.0783936977386475, -1.0371154530730564e-05], ""sum_logprob"": -3.078404068893178, ""mean_logprob"": -1.539202034446589, ""normalized_score_probability"": 0.18361299728478028}}",0.23846574100025464,
case_006,easy,Лишний платёж вернётся автоматически?,CONTINUE,CONTINUE,CONTINUE,True,True,0.8972197482835034,0.7944394965670067,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-2.2240452766418457], ""sum_logprob"": -2.2240452766418457, ""mean_logprob"": -2.2240452766418457, ""normalized_score_probability"": 0.10278025171649662}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.11467038094997406, -5.006777428206988e-06], ""sum_logprob"": -0.11467538772740227, ""mean_logprob"": -0.057337693863701134, ""normalized_score_probability"": 0.8972197482835034}}",0.24807454099936876,
case_007,easy,Как удалить мой аккаунт?,NEW,NEW,NEW,True,True,0.9937100006329749,0.9874200012659499,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-4.470248313737102e-05], ""sum_logprob"": -4.470248313737102e-05, ""mean_logprob"": -4.470248313737102e-05, ""normalized_score_probability"": 0.9937100006329749}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-10.125044822692871, -1.3470558769768104e-05], ""sum_logprob"": -10.12505829325164, ""mean_logprob"": -5.06252914662582, ""normalized_score_probability"": 0.006289999367025052}}",0.2488967720000801,
case_008,easy,PDF тоже поддерживается?,CONTINUE,CONTINUE,CONTINUE,True,True,0.999980167779653,0.9999603355593061,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-10.828246116638184], ""sum_logprob"": -10.828246116638184, ""mean_logprob"": -10.828246116638184, ""normalized_score_probability"": 1.983222034690984e-05}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.00012146688823122531, -5.125986263010418e-06], ""sum_logprob"": -0.00012659287449423573, ""mean_logprob"": -6.329643724711786e-05, ""normalized_score_probability"": 0.999980167779653}}",0.2423751979986264,
case_009,easy,А где поменять пароль?,NEW,CONTINUE,CONTINUE,False,False,0.994873852570234,0.989747705140468,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-5.270904541015625], ""sum_logprob"": -5.270904541015625, ""mean_logprob"": -5.270904541015625, ""normalized_score_probability"": 0.005126147429766021}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.005279645789414644, -6.318072337307967e-06], ""sum_logprob"": -0.005285963861751952, ""mean_logprob"": -0.002642981930875976, ""normalized_score_probability"": 0.994873852570234}}",0.243909122000332,
case_010,easy,А можно ещё за прошлый квартал?,CONTINUE,CONTINUE,CONTINUE,True,True,0.999998005342806,0.9999960106856121,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-13.125077247619629], ""sum_logprob"": -13.125077247619629, ""mean_logprob"": -13.125077247619629, ""normalized_score_probability"": 1.9946571939591354e-06}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-7.724463648628443e-05, -4.529942543740617e-06], ""sum_logprob"": -8.177457903002505e-05, ""mean_logprob"": -4.0887289515012526e-05, ""normalized_score_probability"": 0.999998005342806}}",0.25240759499865817,
