condition_id,id,expected_route,predicted_route,baseline_prediction,correct,continue_score,new_score,delta_continue_minus_new,prediction_changed_from_baseline
name_semantic,case_001,CONTINUE,CONTINUE,CONTINUE,True,19.890625,13.187500000001819,6.703124999998181,False
name_semantic,case_002,CONTINUE,CONTINUE,CONTINUE,True,18.515625,14.718749642372188,3.796875357627812,False
name_semantic,case_003,NEW,CONTINUE,CONTINUE,False,8.156250160362106,-0.125,8.281250160362106,False
name_semantic,case_004,CONTINUE,CONTINUE,CONTINUE,True,19.078125,13.859375000000455,5.218749999999545,False
name_semantic,case_005,NEW,CONTINUE,CONTINUE,False,4.437499875202775,-1.9062500596046448,6.34374993480742,False
name_semantic,case_006,CONTINUE,CONTINUE,CONTINUE,True,17.5,11.906249880813903,5.593750119186097,False
name_semantic,case_007,NEW,CONTINUE,CONTINUE,False,-6.0312497820705175,-13.749999880791279,7.718750098720761,False
name_semantic,case_008,CONTINUE,CONTINUE,CONTINUE,True,18.171875,9.562500240892405,8.609374759107595,False
name_semantic,case_009,NEW,CONTINUE,CONTINUE,False,10.593749761894287,-6.437500206404366,17.031249968298653,False
name_semantic,case_010,CONTINUE,CONTINUE,CONTINUE,True,18.640625,10.718749761826984,7.9218752381730155,False
name_semantic,case_011,NEW,CONTINUE,CONTINUE,False,15.968749880790718,-3.2187500968575478,19.187499977648265,False
name_semantic,case_012,CONTINUE,CONTINUE,CONTINUE,True,18.34375,11.812500238445864,6.531249761554136,False
name_semantic,case_013,CONTINUE,CONTINUE,CONTINUE,True,18.9375,15.18749976158145,3.7500002384185507,False
name_semantic,case_014,NEW,CONTINUE,CONTINUE,False,9.875000001324224,-11.937500119230663,21.812500120554887,False
name_semantic,case_015,CONTINUE,CONTINUE,CONTINUE,True,18.84375,15.29687476158145,3.5468752384185507,False
name_semantic,case_016,NEW,NEW,NEW,True,-2.687500111758709,5.281249896623194,-7.968750008381903,False
name_semantic,case_017,CONTINUE,CONTINUE,CONTINUE,True,16.890625,5.531250195112079,11.35937480488792,False
name_semantic,case_018,NEW,CONTINUE,CONTINUE,False,6.531250106985681,-6.0312497820705175,12.562499889056198,False
name_semantic,case_019,CONTINUE,CONTINUE,CONTINUE,True,18.53125,13.906250000000455,4.624999999999545,False
name_semantic,case_020,NEW,CONTINUE,CONTINUE,False,17.328125,10.406250238876964,6.921874761123036,False
name_semantic,case_021,NEW,CONTINUE,CONTINUE,False,18.15625,12.390624642380772,5.7656253576192285,False
name_semantic,case_022,NEW,CONTINUE,CONTINUE,False,14.906249642372188,-1.6562499552965164,16.562499597668705,False
name_semantic,case_023,CONTINUE,CONTINUE,CONTINUE,True,18.4375,12.468750000007276,5.968749999992724,False
name_semantic,case_024,NEW,CONTINUE,CONTINUE,False,18.890625,10.968749880939868,7.921875119060132,False
name_semantic,case_025,CONTINUE,CONTINUE,CONTINUE,True,18.953125,14.687499523162955,4.2656254768370445,False
name_semantic,case_026,NEW,CONTINUE,CONTINUE,False,18.90625,13.687499761582103,5.218750238417897,False
